Laser id,Elevation,Azimuth
1,7.143,-0.025
2,6.142,-0.025
3,5.136,-0.026
4,4.128,-0.026
5,3.115,-2.54
6,2.102,-2.541
7,1.767,2.49
8,1.421,-5.042
9,1.087,-2.541
10,0.752,2.49
11,0.406,-5.042
12,0.071,-2.541
13,-0.268,2.49
14,-0.606,-5.042
15,-0.945,-0.026
16,-1.284,2.49
17,-1.621,-5.042
18,-1.96,-0.026
19,-2.298,4.998
20,-2.636,-2.541
21,-2.974,-0.026
22,-3.311,4.998
23,-3.648,-2.54
24,-3.986,-0.026
25,-4.319,4.997
26,-4.661,-2.54
27,-4.995,2.49
28,-5.326,4.997
29,-5.667,-2.539
30,-6,2.49
31,-7.001,2.49
32,-7.997,2.49
33,-8.987,-0.024
34,-9.971,-0.023
35,-10.948,-0.023
36,-11.917,-0.022
37,-12.874,-2.528
38,-13.825,-2.526
39,-14.766,-2.523
40,-15.696,-2.521
